Sno,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed,latitude,longitude
80,09/03/20,18:00:00,Tamil Nadu,0,0,1,20.5937,78.962
81,09/03/20,18:00:00,Telengana,0,0,1,20.5937,78.962
82,09/03/20,18:00:00,Jammu and Kashmir,0,0,1,20.5937,78.962
83,09/03/20,18:00:00,Uttar Pradesh,0,0,7,20.5937,78.962
84,09/03/20,18:00:00,Haryana,0,0,2,20.5937,78.962
85,09/03/20,18:00:00,Delhi,0,0,4,20.5937,78.962
86,10/03/20,18:00:00,Uttar Pradesh,0,0,7,20.5937,78.962
87,10/03/20,18:00:00,Ladakh,0,0,2,20.5937,78.962
88,10/03/20,18:00:00,Delhi,0,0,4,20.5937,78.962
89,10/03/20,18:00:00,Haryana,0,0,2,20.5937,78.962
90,10/03/20,18:00:00,Karnataka,0,0,4,20.5937,78.962
91,10/03/20,18:00:00,Kerala,3,0,15,20.5937,78.962
92,10/03/20,18:00:00,Maharashtra,0,0,5,20.5937,78.962
93,10/03/20,18:00:00,Punjab,0,0,1,20.5937,78.962
94,10/03/20,18:00:00,Rajasthan,0,0,15,20.5937,78.962
95,10/03/20,18:00:00,Tamil Nadu,0,0,1,20.5937,78.962
96,10/03/20,18:00:00,Telengana,0,0,1,20.5937,78.962
97,10/03/20,18:00:00,Jammu and Kashmir,0,0,1,20.5937,78.962
98,11/03/20,18:00:00,Maharashtra,0,0,2,20.5937,78.962
99,11/03/20,18:00:00,Delhi,0,0,5,20.5937,78.962
100,11/03/20,18:00:00,Haryana,0,0,14,20.5937,78.962
101,11/03/20,18:00:00,Kerala,3,0,17,20.5937,78.962
102,11/03/20,18:00:00,Rajasthan,0,0,3,20.5937,78.962
103,11/03/20,18:00:00,Telengana,0,0,1,20.5937,78.962
104,11/03/20,18:00:00,Uttar Pradesh,0,0,9,20.5937,78.962
105,11/03/20,18:00:00,Ladakh,0,0,2,20.5937,78.962
106,11/03/20,18:00:00,Tamil Nadu,0,0,1,20.5937,78.962
107,11/03/20,18:00:00,Jammu and Kashmir,0,0,1,20.5937,78.962
108,11/03/20,18:00:00,Punjab,0,0,1,20.5937,78.962
109,11/03/20,18:00:00,Karnataka,0,0,4,20.5937,78.962
110,12/03/20,18:00:00,Delhi,0,0,6,20.5937,78.962
111,12/03/20,18:00:00,Haryana,0,0,14,20.5937,78.962
112,12/03/20,18:00:00,Kerala,3,0,17,20.5937,78.962
113,12/03/20,18:00:00,Rajasthan,0,0,3,20.5937,78.962
114,12/03/20,18:00:00,Telengana,0,0,1,20.5937,78.962
115,12/03/20,18:00:00,Uttar Pradesh,0,0,11,20.5937,78.962
116,12/03/20,18:00:00,Ladakh,0,0,3,20.5937,78.962
117,12/03/20,18:00:00,Tamil Nadu,0,0,1,20.5937,78.962
118,12/03/20,18:00:00,Jammu and Kashmir,0,0,1,20.5937,78.962
119,12/03/20,18:00:00,Punjab,0,0,1,20.5937,78.962
120,12/03/20,18:00:00,Karnataka,0,0,4,20.5937,78.962
121,12/03/20,18:00:00,Maharashtra,0,0,11,20.5937,78.962
122,12/03/20,18:00:00,Andhra Pradesh,0,0,1,20.5937,78.962
123,13/03/20,18:00:00,Delhi,0,0,6,20.5937,78.962
124,13/03/20,18:00:00,Haryana,0,0,14,20.5937,78.962
125,13/03/20,18:00:00,Kerala,3,0,19,20.5937,78.962
126,13/03/20,18:00:00,Rajasthan,0,0,3,20.5937,78.962
127,13/03/20,18:00:00,Telengana,0,0,1,20.5937,78.962
128,13/03/20,18:00:00,Uttar Pradesh,0,0,11,20.5937,78.962
129,13/03/20,18:00:00,Ladakh,0,0,3,20.5937,78.962
130,13/03/20,18:00:00,Tamil Nadu,0,0,1,20.5937,78.962
131,13/03/20,18:00:00,Jammu and Kashmir,0,0,1,20.5937,78.962
132,13/03/20,18:00:00,Punjab,0,0,1,20.5937,78.962
133,13/03/20,18:00:00,Karnataka,0,1,6,20.5937,78.962
134,13/03/20,18:00:00,Maharashtra,0,0,14,20.5937,78.962
135,13/03/20,18:00:00,Andhra Pradesh,0,0,1,20.5937,78.962
136,14/03/20,18:00:00,Delhi,1,1,7,20.5937,78.962
137,14/03/20,18:00:00,Haryana,0,0,14,20.5937,78.962
138,14/03/20,18:00:00,Kerala,3,0,19,20.5937,78.962
139,14/03/20,18:00:00,Rajasthan,1,0,3,20.5937,78.962
140,14/03/20,18:00:00,Telengana,0,0,1,20.5937,78.962
141,14/03/20,18:00:00,Uttar Pradesh,5,0,12,20.5937,78.962
142,14/03/20,18:00:00,Ladakh,0,0,3,20.5937,78.962
143,14/03/20,18:00:00,Tamil Nadu,0,0,1,20.5937,78.962
144,14/03/20,18:00:00,Jammu and Kashmir,0,0,2,20.5937,78.962
145,14/03/20,18:00:00,Punjab,0,0,1,20.5937,78.962
146,14/03/20,18:00:00,Karnataka,0,1,6,20.5937,78.962
147,14/03/20,18:00:00,Maharashtra,0,0,14,20.5937,78.962
148,14/03/20,18:00:00,Andhra Pradesh,0,0,1,20.5937,78.962
149,15/03/20,18:00:00,Andhra Pradesh,0,0,1,20.5937,78.962
150,15/03/20,18:00:00,Delhi,2,1,7,20.5937,78.962
151,15/03/20,18:00:00,Haryana,0,0,14,20.5937,78.962
152,15/03/20,18:00:00,Karnataka,0,1,6,20.5937,78.962
153,15/03/20,18:00:00,Kerala,3,0,22,20.5937,78.962
154,15/03/20,18:00:00,Maharashtra,0,0,32,20.5937,78.962
155,15/03/20,18:00:00,Punjab,0,0,1,20.5937,78.962
156,15/03/20,18:00:00,Rajasthan,3,0,4,20.5937,78.962
157,15/03/20,18:00:00,Tamil Nadu,0,0,1,20.5937,78.962
158,15/03/20,18:00:00,Telengana,1,0,3,20.5937,78.962
159,15/03/20,18:00:00,Jammu and Kashmir,0,0,2,20.5937,78.962
160,15/03/20,18:00:00,Ladakh,0,0,3,20.5937,78.962
161,15/03/20,18:00:00,Uttar Pradesh,4,0,13,20.5937,78.962
162,15/03/20,18:00:00,Uttarakhand,0,0,1,20.5937,78.962
163,16/03/20,18:00:00,Andhra Pradesh,0,0,1,20.5937,78.962
164,16/03/20,18:00:00,Delhi,2,1,7,20.5937,78.962
165,16/03/20,18:00:00,Haryana,0,0,14,20.5937,78.962
166,16/03/20,18:00:00,Karnataka,0,1,6,20.5937,78.962
167,16/03/20,18:00:00,Kerala,3,0,23,20.5937,78.962
168,16/03/20,18:00:00,Maharashtra,0,0,32,20.5937,78.962
